﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:5iaeuSweyKjyrNa47uwwk3,Blown a Wish,My Bloody Valentine,Loveless,1,9,216600,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:21:32Z
spotify:track:0oiGUMBeL8Bn0csxAl4a1W,I Only Said,My Bloody Valentine,Loveless,1,6,334400,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:21:03Z
spotify:track:6TQMx46BOs5GHS3hcshYQf,What You Want,My Bloody Valentine,Loveless,1,10,333200,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:21:08Z
spotify:track:2h9IbUdeKAR7KOMXxfgQOq,Pandora (For Cindy),Cocteau Twins,Treasure,1,5,335306,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:21:12Z
spotify:track:28c4nfBHdb3xviamRCEsIe,Feel the Pain,Dinosaur Jr.,Without a Sound,1,1,259600,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:21:16Z
spotify:track:1qOROGSTTH8HfCTukMCu0B,Machine Gun,Slowdive,Souvlaki,1,2,268466,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:21:20Z
spotify:track:41R4fI1Z1w2gsJEFQWdeJs,To Here Knows When,My Bloody Valentine,Loveless,1,4,331226,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:21:27Z
spotify:track:5NziFO1dYnQPu2EXdTB4UL,Come in Alone,My Bloody Valentine,Loveless,1,7,238840,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:21:41Z
spotify:track:6jzsDFtiFXaYI5aoLhA0A2,In Your House - Remastered Version,The Cure,Seventeen Seconds (Deluxe Edition),1,4,247533,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:22:15Z
spotify:track:14HaQ7Go4QdKj6LgFJSZqV,Play for Today - Remastered Version,The Cure,Seventeen Seconds (Deluxe Edition),1,2,220640,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:22:23Z
spotify:track:1wDfhmlEvVEbQnEIdMRfvf,Seneca Falls,The Distillers,Sing Sing Death House,1,3,181533,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:22:27Z
spotify:track:5ZNdRdZ2inm4ksA8keadDs,Sunday,Sonic Youth,A Thousand Leaves,1,2,291333,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:22:33Z
spotify:track:5L3H63sBURBch3bUJ2acIJ,Teenage Whore,Hole,Pretty On The Inside,1,1,177226,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:22:38Z
spotify:track:52UcjsM15hjCQAUbTW2hy1,Only Shallow,My Bloody Valentine,Loveless,1,1,257519,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:22:43Z
spotify:track:5xK2mtKLpVu4soKn2kHEZh,Oh!,Sleater-Kinney,One Beat (Remastered),1,3,236306,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:22:52Z
spotify:track:3iM1i7dnn64SPveF0ETJnq,Blue Skied An' Clear,Slowdive,Pygmalion,1,8,411946,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:22:57Z
spotify:track:6JuEshIRliNXRU1LXctRjZ,Halah,Mazzy Star,She Hangs Brightly,1,1,196226,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:04Z
spotify:track:46pituyffrewhSufrHzEOh,Rhinoceros,The Smashing Pumpkins,(Rotten Apples) The Smashing Pumpkins Greatest Hits,1,2,353373,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:11Z
spotify:track:4ImbE4F46Lhu7lG1Unurvp,The Sprawl (Album Version),Sonic Youth,Daydream Nation (Deluxe Edition),1,3,462493,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:15Z
spotify:track:4QRO73C82pI3OCHo0njVlS,Surrender,Suicide,A Way of Life,1,2,228426,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:29Z
spotify:track:3O4TPMOgChXOerSdB5WENH,A Forest - Remastered Version,The Cure,Seventeen Seconds (Deluxe Edition),1,7,354933,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:40Z
spotify:track:3ZmQ6V3YR9aWnFFe1wJeHa,Outer Space,John Maus,Addendum,1,1,225966,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:44Z
spotify:track:1L1mH9gXG8uNgUhva0Rjyp,Murdered Out,Kim Gordon,Murdered Out,1,1,215649,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:51Z
spotify:track:3Vwiyac0m8aGMyx7V9buOQ,Erected Girl,Free Kitten,Inherit,1,1,405293,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:55Z
spotify:track:4oguhUGuMDBEKdxhtTXNMy,Little Trouble Girl,Sonic Youth,Washing Machine,1,6,267160,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:23:58Z
spotify:track:48Oewsngh2r6BmGd9XmTY0,Pack Yr Romantic Mind,Stereolab,Transient Random-Noise Bursts With Announcements,1,3,306133,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:24:07Z
spotify:track:6px1KhTqAfxdcF6A1JGSpx,Bull In The Heather,Sonic Youth,"Experimental Jet Set, Trash And No Star",1,2,184866,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:24:18Z
spotify:track:0R1J6J85Dn19me4bGcsJFf,International Colouring Contest,Stereolab,Mars Audiac Quintet,1,9,227840,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:24:44Z
spotify:track:6KIiQHkE3NrMxhyfrA4x8c,Cybele's Reverie,Stereolab,Emperor Tomato Ketchup,1,2,280706,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:25:02Z
spotify:track:5Fmk7akgjEpRI4vvu7CQ2m,Firefly,"Airiel, Stella Tran",Winks & Kisses: Melted,1,3,385533,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:25:10Z
spotify:track:7l5XWtUfIclO2xCTFvts8V,In Your Room,Airiel,Winks & Kisses: Melted,1,4,566466,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:25:17Z
spotify:track:3Uz3K1Ctq6MOIDqRddKHXo,Kinky Love,Pale Saints,Flesh Balloon,1,3,244240,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:25:25Z
spotify:track:6p3ldA4rg9qE1CDppj8rIB,Siva - Remastered 2011,The Smashing Pumpkins,Gish (Deluxe Edition),1,2,259733,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:25:30Z
spotify:track:2FjpNlxgvURWV3x1XdcPzy,Bury Me - Remastered 2011,The Smashing Pumpkins,Gish (Deluxe Edition),1,4,286093,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:25:33Z
spotify:track:7wE4l1GNxjE2kOmlsx0PcA,When The Sun Hits,Slowdive,Souvlaki,1,7,287466,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:28:06Z
spotify:track:7h11bXXfAeNvvNDIGno9XW,Kill Yr. Idols,Sonic Youth,Confusion Is Sex (Plus Kill Yr. Idols),1,10,171866,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-16T14:26:58Z
spotify:track:3HfEgAaf0koxBpBB8NvGda,When You Sleep,My Bloody Valentine,Loveless,1,5,251933,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:28:11Z
spotify:track:55CenVQ4alvDJ1PS8aYB0m,Alison,Slowdive,Souvlaki,1,1,231893,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:28:27Z
spotify:track:2FcdU1f3nW9xogqCARVlrf,Beverly Hills,Circle Jerks,Group Sex,1,3,66133,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:46:52Z
spotify:track:4VSH2Mz6pJqJU51ba1zoMk,Souvlaki Space Station,Slowdive,Souvlaki,1,6,359066,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T09:29:10Z
