﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2FUNBaa5DwItJtYEBgAblU","monster","21 Savage","i am > i was","1","13","233039","spotify:user:jmlern16","2019-01-12T18:37:26Z"
"spotify:track:3au0pvHqcTtszysswan6AO","LIFE","Saba","CARE FOR ME","1","3","162750","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:7c3SbTuufigBWURcICnAWy","Tints (feat. Kendrick Lamar)","Anderson .Paak, Kendrick Lamar","Oxnard","1","3","268400","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:4IwlRsx9bQyBOZVZbZdCxi","Reginald (feat. Ben Hixon)","Mick Jenkins, Ben Hixon","Pieces of a Man","1","8","168474","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:3X6YJcqTinaNraRvojF62K","Z4L (with Bari & Jay2)","Smino, Bari, Jay2","NOIR","1","7","162590","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:4XCmKekq1HRCsS7BPWsCRx","Matches (feat. Ab-Soul)","Mac Miller, Ab-Soul","Watching Movies with the Sound Off (Deluxe Edition)","1","6","178410","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:0Eqm7hD828cATBLUx2fJox","Meditate (feat. J.I.D.)","EARTHGANG, JID","Rags - EP","1","1","278083","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:1t4pPnbkOjzoA5RvsDjvUU","1999 WILDFIRE","BROCKHAMPTON","1999 WILDFIRE","1","1","251250","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:3woRy7uxzl1lO2XO99oHsN","The Man Who Has Everything","Chance the Rapper","The Man Who Has Everything","1","1","218624","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:564oa00vY05d1uYnTEAAmE","Herside Story","GoldLink, Hare Squead","At What Cost","1","6","183760","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:41uX0L4bro4KfKtDIIEFFe","FUN!","Vince Staples","FM!","1","7","171106","spotify:user:jmlern16","2019-04-14T15:40:30Z"
"spotify:track:2JvzF1RMd7lE3KmFlsyZD8","MIDDLE CHILD","J. Cole","MIDDLE CHILD","1","1","213593","spotify:user:jmlern16","2019-02-05T19:33:27Z"
"spotify:track:1AT4xjNarTswd0UZ5FlmKF","Motiv8","J. Cole","KOD","1","6","133921","spotify:user:jmlern16","2019-02-05T19:34:14Z"
"spotify:track:6m3ZXs465Rt4Tc1iiLktXL","Broad Shoulders (feat. Chance the Rapper)","Taylor Bennett, Chance the Rapper","Broad Shoulders","1","10","227263","spotify:user:jmlern16","2019-02-05T19:38:30Z"
"spotify:track:4I5uWfaZIrkKCHrbO7eLMV","Gloria","Tierra Whack","Gloria","1","1","156958","spotify:user:jmlern16","2019-03-11T17:22:39Z"
"spotify:track:3DlgDXIYtnWtJKiB8bZQMv","Photosynthesis","Saba, Jean Deaux","Bucket List Project","1","8","201732","spotify:user:jmlern16","2019-03-23T20:30:05Z"
"spotify:track:0ror2i7yC3O4iqS1Fmvhtb","Alkaline","Kota the Friend","Alkaline","1","1","185000","spotify:user:jmlern16","2019-03-30T20:08:55Z"
"spotify:track:2aPTvyE09vUCRwVvj0I8WK","Sundress","A$AP Rocky","Sundress","1","1","158205","spotify:user:jmlern16","2019-03-30T20:09:09Z"
"spotify:track:65Mnqq7nlnL29EnVnOVFDM","What Am I To Do","Mick Jenkins","What Am I To Do","1","1","175609","spotify:user:jmlern16","2019-03-30T20:09:21Z"
"spotify:track:12whPvsw1oxuuwlD27mTeb","G35","YGTUT, Isaiah Rashad","G35","1","1","264000","spotify:user:jmlern16","2019-04-10T19:54:31Z"
"spotify:track:3NWTRZ0A8xKlBP1qgNftql","Special Affair","The Internet","Ego Death","1","8","176186","spotify:user:jmlern16","2019-04-10T19:58:51Z"
"spotify:track:3SEZgDncfa1sqjThdI9JcJ","Angles (feat. Noname & Xavier Omär)","Mick Jenkins, Noname, Xavier Omär","The Healing Component","1","14","263087","spotify:user:jmlern16","2019-06-03T20:43:26Z"
"spotify:track:0ZWhqhiu9eIUOB1Ou0kiO3","She Live (feat. Megan Thee Stallion)","Maxo Kream, Megan Thee Stallion","She Live (feat. Megan Thee Stallion)","1","1","170000","spotify:user:jmlern16","2019-06-29T18:56:21Z"
"spotify:track:2T64m94VBrsEISkAYq6Cnq","Cooks","Still Woozy","Cooks","1","1","174105","spotify:user:jmlern16","2019-06-29T18:56:32Z"
"spotify:track:4FOP2FPfIii2NcZZDa72dn","U Say (feat. Tyler, The Creator & Jay Prince)","GoldLink, Tyler, The Creator, Jay Prince","U Say (feat. Tyler, The Creator & Jay Prince)","1","1","200824","spotify:user:jmlern16","2019-06-29T18:56:37Z"
"spotify:track:4Hq1q82uvzNxUYmgBOxPco","Nike's on My Feet","Mac Miller","Nike's on My Feet","1","1","164411","spotify:user:jmlern16","2019-06-29T18:56:39Z"
"spotify:track:05v5mPkLAOoa7M5tnXXOwq","Time","Free Nationals, Mac Miller, Kali Uchis","Time","1","1","210279","spotify:user:jmlern16","2019-06-29T18:56:41Z"
"spotify:track:0yJRQPFhkgBMP8RyerfH8l","Maybe She","Still Woozy","Lately","1","5","169090","spotify:user:jmlern16","2019-06-29T18:56:43Z"
"spotify:track:24G1PXBWoRgV0wDXZKwxzz","N Side","Steve Lacy","Apollo XXI","1","11","224444","spotify:user:jmlern16","2019-06-29T18:56:49Z"
"spotify:track:30o8E8pmxyWDVvjud2WE5i","Basement Jack","Steve Lacy","Apollo XXI","1","4","109818","spotify:user:jmlern16","2019-06-29T18:56:51Z"
"spotify:track:6tByydPskASjm9jTPkNQq0","Numb Numb Juice","ScHoolboy Q","CrasH Talk","1","4","107146","spotify:user:jmlern16","2019-06-29T18:56:55Z"
"spotify:track:5hVghJ4KaYES3BFUATCYn0","EARFQUAKE","Tyler, The Creator","IGOR","1","2","190066","spotify:user:jmlern16","2019-06-29T18:56:59Z"
"spotify:track:5A0M6B0RBSXSNWv0wcppZ9","I DON'T LOVE YOU ANYMORE","Tyler, The Creator","IGOR","1","11","161200","spotify:user:jmlern16","2019-06-29T18:57:04Z"
"spotify:track:4cTm3Ev9bUvy4ChJjB1nhl","Juicy","Doja Cat","Amala (Deluxe Version)","1","14","199586","spotify:user:jmlern16","2019-06-29T18:57:08Z"
"spotify:track:4CDzxLnX6f8IpaFo0Na51x","Got Muscle (feat. Peewee Longway & WaveIQ)","GoldLink, Peewee Longway, WaveIQ","Got Muscle (feat. Peewee Longway & WaveIQ)","1","1","178851","spotify:user:jmlern16","2019-06-29T18:57:15Z"
"spotify:track:4AFGAXKRA8XpLnWJBlDCkC","Lounar","tobi lou","tobi lou and the Moon","1","2","238400","spotify:user:jmlern16","2019-06-29T18:57:22Z"
"spotify:track:6Km73Tlvi4yS2e4XaIuXek","23","Rejjie Snow, Your Smith","Dear Annie","1","4","181613","spotify:user:jmlern16","2019-06-29T18:57:26Z"
"spotify:track:0nXyCNdS6fkZNP11DwGq1i","Lucy","Still Woozy, ODIE","Lucy","1","1","142500","spotify:user:jmlern16","2019-06-29T18:57:30Z"
"spotify:track:6GCIYIWUBSLontW6divqsw","Stay Flo","Solange","When I Get Home","1","6","175706","spotify:user:jmlern16","2019-06-29T18:57:42Z"
"spotify:track:06BLANboqUEnvBHJH0aViQ","Glass Flows","Smino, Ravyn Lenae","blkswn","1","3","188209","spotify:user:jmlern16","2019-06-29T18:57:46Z"
"spotify:track:0WpDeBJ22LcwF4QoERQOTv","Hungry Hippo","Tierra Whack","Whack World","1","7","60000","spotify:user:jmlern16","2019-06-29T18:57:57Z"
"spotify:track:5veS4mRwlc4lOsfXKdhqZD","Lobby Kall","Smino","blkswn","1","8","164350","spotify:user:jmlern16","2019-06-29T18:58:05Z"
"spotify:track:0IUWe1lprVhev4JwubwNMF","Fruit Salad","Tierra Whack","Whack World","1","11","60000","spotify:user:jmlern16","2019-06-29T18:58:08Z"
"spotify:track:4l7oD6415mxY0uSppVUUjX","On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky)","Mustard, YG, Tyga, A$AP Ferg, A$AP Rocky","On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky)","1","1","263126","spotify:user:jmlern16","2019-07-01T01:36:03Z"
"spotify:track:1JqcZQCnxjDOfZZwQidb1H","Broke","Samm Henshaw","Broke","1","1","207722","spotify:user:jmlern16","2019-07-03T14:49:31Z"
"spotify:track:6JvfBzqZmSiEG5MjM7OcSY","Diddy Bop (feat. Cam O'bi & Raury)","Noname, Cam O'bi, Raury","Telefone","1","3","208000","spotify:user:jmlern16","2019-07-04T15:39:15Z"
"spotify:track:36J0iaPDGbYGsHvYpaYs3k","Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)","Dreamville, JID, Bas, J. Cole, EARTHGANG, Young Nudy","Revenge Of The Dreamers III","1","2","169146","spotify:user:jmlern16","2019-07-06T16:11:04Z"
"spotify:track:7dnSXaCjLdFiWZa8s5wP1n","Self Love (with Ari Lennox & Bas feat. Baby Rose)","Dreamville, Ari Lennox, Bas, Baby Rose","Revenge Of The Dreamers III","1","9","223013","spotify:user:jmlern16","2019-07-06T17:01:36Z"
"spotify:track:3QBnJDkME3teXvf52Sfslk","Ladies, Ladies, Ladies (with JID feat. T.I.)","Dreamville, JID, T.I.","Revenge Of The Dreamers III","1","10","167786","spotify:user:jmlern16","2019-07-06T17:01:41Z"
"spotify:track:4uK0ifG1tM80qoJz6WV4eP","Bissonnet","Maxo Kream","Brandon Banks","1","2","143581","spotify:user:jmlern16","2019-07-30T18:17:58Z"
"spotify:track:7wTA0NKIm6T7nP2kaymU2a","Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba)","Dreamville, EARTHGANG, J. Cole, Smino, Saba","Revenge Of The Dreamers III","1","18","382306","spotify:user:jmlern16","2019-07-30T18:18:07Z"
"spotify:track:6nBQFAIVFmAx2oZ8p6lUg6","Tempo (feat. Missy Elliott)","Lizzo, Missy Elliott","Cuz I Love You","1","7","175342","spotify:user:jmlern16","2019-07-30T18:18:11Z"
"spotify:track:6gxJg7WCL5xdQCyhm4COF2","Drizzy Draco","Maxo Kream","Brandon Banks","1","7","155846","spotify:user:jmlern16","2019-07-30T18:22:51Z"
"spotify:track:6AJluzEVznFF238cXG5fo8","Spice Ln.","Maxo Kream","Brandon Banks","1","9","202309","spotify:user:jmlern16","2019-07-30T18:24:37Z"
"spotify:track:7t5MUcFIIayP1M6TNhtWE0","Summer Time High Time","Cuco, J-Kwe$t","Chiquito","1","4","208067","spotify:user:jmlern16","2019-08-13T06:54:04Z"
"spotify:track:6y5CTUxwSD9yM8656nqOEV","Ipanema","Still Woozy, Omar Apollo, Elujay","Lately","1","2","127044","spotify:user:jmlern16","2019-08-13T06:54:13Z"
"spotify:track:54twSJr4f3abwuxtjiYIUv","Bring Yo Friends","Tunji Ige","Missed Calls","1","5","217368","spotify:user:jmlern16","2019-08-13T06:54:20Z"
"spotify:track:4Ab4XTzaXVcMWn7FQe6fNa","Cleaner Air","Yeek","IDK WHERE","1","1","128129","spotify:user:jmlern16","2019-08-13T06:54:38Z"
